safegraph_place_id,location_name,brands,top_category,sub_category,naics_code,latitude,longitude,city,region
sg:f45216d682674a5eb65c4f1f3d41ad68,Abra Palabra,,Other Schools and Instruction,Language Schools,"611630",44.948644,-93.253167,Minneapolis,MN
sg:0c489c264cef4300b8aff9e71f36a9d9,I Care Home Healthcare,,Home Health Care Services,Home Health Care Services,"621610",44.948559,-93.258239,Minneapolis,MN
sg:07da50b0fc1e4e008bf50620783041dc,Kringle Vicki RN Cnp,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),"621111",44.947783,-93.318119,Minneapolis,MN
sg:3e74e5a416224ebc8e9a53e34a596583,Capsule,,,,,44.985287,-93.26961,Minneapolis,MN
sg:5f74c77141c04629b046a501ad2e6be5,Wells Fargo,Wells Fargo,Depository Credit Intermediation,Commercial Banking,"522110",44.948844,-93.240145,Minneapolis,MN
sg:995ccf82d6484e9d95c9d6f69b366f82,Painters Minneapolis Inc,,Automotive Repair and Maintenance,"Automotive Body, Paint, and Interior Repair and Maintenance","811121",44.912785,-93.328735,Minneapolis,MN
sg:f4ff067dbced4d66a52e3c8e4ba40cdc,Los Portales Restaurant,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.948206,-93.269497,Minneapolis,MN
sg:f560db4c1ca144b99fe5a815b3636b44,Xenfusion Massage & Bodyworks,,Personal Care Services,Other Personal Care Services,"812199",44.892638,-93.270062,Minneapolis,MN
sg:239eab78bef948bdaade1359aeeed673,Standish Cafe,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.933974,-93.236908,Minneapolis,MN
sg:3bd6b35430fb4d52bf6041fba5747d2c,Ruff Love Dogs,,Other Personal Services,Pet Care (except Veterinary) Services,"812910",45.003727,-93.271625,Minneapolis,MN
sg:6121cc9063d846a2a5ae08c99c9a1fce,Spring Street Tavern,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.994846,-93.251915,Minneapolis,MN
sg:8b085246ad6846a88b9fc19c1a8ea7aa,Salty Tart,,Bakeries and Tortilla Manufacturing,Retail Bakeries,"311811",44.949011,-93.285935,Minneapolis,MN
sg:aa6bc252471145a5ae34c01cd2c923fb,Orange Julius,Orange Julius,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,"722515",44.917226,-93.213887,Minneapolis,MN
sg:b09374438323429c8c2e2b8975c0008b,Mecca Meat & Grocery Store,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,"445110",44.955323,-93.252719,Minneapolis,MN
sg:f06339768a684771846ea8592c9170e1,Bunny's Bar & Grill NE,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.999257,-93.271826,Minneapolis,MN
sg:2b9648e9f14844ba86f1c8799a0fb896,Gorkha Palace,,,,,44.989278,-93.255064,Minneapolis,MN
sg:86548fb4280f47e19a258a7a5829de1d,Samantha's bakery,,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,"722515",44.94868,-93.260755,Minneapolis,MN
sg:9ed94713a7d0429da87697d45e5f4d0e,Chicago's Taste Authority Minneapolis,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.926697,-93.226694,Minneapolis,MN
sg:c8c6774cbd834977b3e45255916c9401,Peavey Park,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,"712190",44.961797,-93.263836,Minneapolis,MN
sg:2257f6c3465b434daffa230a69bab70b,JJ'S Poke,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.981919,-93.235073,Minneapolis,MN
sg:360b69d0aeb8480a9cda097b642fefba,Sunshine Foods,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,"445110",44.943038,-93.270469,Minneapolis,MN
sg:a68b53f9a0bb4b84963b705c7a7ff43d,K 9 & Kitty Kutters,,Other Miscellaneous Store Retailers,Pet and Pet Supplies Stores,"453910",44.939815,-93.252187,Minneapolis,MN
sg:a8317f55ec7645ac97358db9ca2ca837,SuperAmerica,SuperAmerica,Gasoline Stations,Gasoline Stations with Convenience Stores,"447110",44.930243,-93.287844,Minneapolis,MN
sg:9fdeeb9fa9b244dc9bc5dba8e3ff6792,Centerpoint Energy,,,,,44.978572,-93.270548,Minneapolis,MN
sg:ccb36d8d9c5e4955a95651a47656dd14,Midtown Self Park Garage,,,,,44.979699,-93.271036,Minneapolis,MN
sg:23c9c276f5054a2a9db0c6e1c63b93ee,University Of Minnesota Recreation & Wellness Center,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,"712190",44.97568,-93.229304,Minneapolis,MN
sg:36fb996c3cba496ab6b96b2db329dc65,Timberland,Timberland,Shoe Stores,Shoe Stores,"448210",44.94798,-93.298036,Minneapolis,MN
sg:f74cfe60c2bc47828b10ff82e5ac109f,University of Minnesota,,"Colleges, Universities, and Professional Schools","Colleges, Universities, and Professional Schools","611310",44.973191,-93.219085,Minneapolis,MN
sg:2ba1bb9fdadc458ebf78a8f1a1085924,Caribou Coffee,Caribou Coffee,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,"722515",44.947444,-93.321334,Minneapolis,MN
sg:52263a7422d14dacbdd477996dfc31f3,Tax Defense Network,,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Tax Preparation Services,"541213",44.974018,-93.272521,Minneapolis,MN
sg:6cad12ca03da4d7d862099389feb0eb1,Gilbert Howard D MD,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),"621111",44.959504,-93.264448,Minneapolis,MN
sg:a0136cbb877345c1adf203aab4b7c994,Starbucks,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,"722515",44.974931,-93.274203,Minneapolis,MN
sg:dbb200bc6a4d4c67a34f5be252c559b2,The Strength Box Gym,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,"713940",44.971789,-93.28606,Minneapolis,MN
sg:f4410779200d4be1a0fa5ba220af70ea,Fountain of Life Gospel Church,,Religious Organizations,Religious Organizations,"813110",44.930696,-93.260307,Minneapolis,MN
sg:07d60fc159af47a9891ed694d86cd9c8,Burger Jones,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.948804,-93.319833,Minneapolis,MN
sg:304204a4cab9497eb88e57958a469777,Fulton Realty,,Depository Credit Intermediation,Commercial Banking,"522110",44.949773,-93.296492,Minneapolis,MN
sg:53e26f4622d2421092f5dbb7cbcaf6e2,Tortilleria La Perla,,,,,44.948237,-93.253053,Minneapolis,MN
sg:43027f7d88fb4779ad022826e340230a,Watercourse Counseling Center,,Offices of Other Health Practitioners,Offices of Mental Health Practitioners (except Physicians),"621330",44.937997,-93.291031,Minneapolis,MN
sg:997ecea1336b44b4a010d56fdeac64e9,Premium Quality Coin,,"Jewelry, Luggage, and Leather Goods Stores",Jewelry Stores,"448310",44.980282,-93.266204,Minneapolis,MN
sg:bd25fc3ff07a44329ad25fa37910ef9d,Cal Surf,,Other Miscellaneous Manufacturing,Sporting and Athletic Goods Manufacturing,"339920",44.948203,-93.304097,Minneapolis,MN
sg:34c4ca9f046442ffa984416857e4658e,City Afrique,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",45.034393,-93.287866,Minneapolis,MN
sg:e7d5bd0fdce9409793d7c704434f863c,BP,BP,Gasoline Stations,Gasoline Stations with Convenience Stores,"447110",44.96236,-93.273116,Minneapolis,MN
sg:295ea1c89cdb46f79fbd88934cdac175,Gaviidae Common,,,,,44.977453,-93.271388,Minneapolis,MN
sg:6b234cf1a69d4d2687f8ffd01ec85f75,Berkseth Robert O MD,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),"621111",44.970904,-93.259605,Minneapolis,MN
sg:96c57a87618f4048adf60ccc07a18753,Whole Sum Kitchen,,Grocery Stores,Convenience Stores,"445120",44.912474,-93.290609,Minneapolis,MN
sg:5077f779d9444dbd94c5eabafc91ac89,Longfellow Grill,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.94872,-93.206267,Minneapolis,MN
sg:81766e5add4847f99b29be943f572735,Solomon's Porch,,Religious Organizations,Religious Organizations,"813110",44.919848,-93.279638,Minneapolis,MN
sg:f4dc9584557447ed978b2a5679b172d6,Loon Grocery,,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores","445310",44.957158,-93.287478,Minneapolis,MN
sg:4754032f51a64d9989b9a9bd52e8472a,True Care Moving Service,,Waste Treatment and Disposal,Hazardous Waste Treatment and Disposal,"562211",44.987292,-93.277295,Minneapolis,MN
sg:a35e5eaaf9a14cd9b71d3e65a0960adf,Roofer Marketers,,Printing and Related Support Activities,Books Printing,"323117",45.020562,-93.243812,Minneapolis,MN
sg:b6f17f6ea26544869aabd4c6112497e4,Riverview Wine Bar,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.934482,-93.212486,Minneapolis,MN
sg:ec94573c4a034e4bb2c9a34b77e779a2,Friendship Acdmy Of Fine Arts Chtr,,Elementary and Secondary Schools,Elementary and Secondary Schools,"611110",44.934471,-93.23446,Minneapolis,MN
sg:eebd08ff98ec4ebead24c4a5702aabd5,Shriners Hospitals For Children Twin Cities,,General Medical and Surgical Hospitals,General Medical and Surgical Hospitals,"622110",44.958615,-93.210719,Minneapolis,MN
sg:5f5a97bebf9047cdb783478eee48aa18,Leitschuh's Insurance Agency,,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,"524210",45.000632,-93.266428,Minneapolis,MN
sg:9ea0f86191ab4e5caf9277fb86433bed,Transfeldt Ensor E MD,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),"621111",44.955083,-93.26097,Minneapolis,MN
sg:b3d29fee18e64103977a271b3f72ff67,Nura Holistic Massage and Bodywork,,Personal Care Services,Other Personal Care Services,"812199",44.948977,-93.269944,Minneapolis,MN
sg:d5a0c7b378954240aea56a0137925d50,Child Garden Montessori,,Elementary and Secondary Schools,Elementary and Secondary Schools,"611110",44.973681,-93.28633,Minneapolis,MN
sg:1638a4363307457aba04570551d2a07c,Wings Financial Credit Union,,Depository Credit Intermediation,Commercial Banking,"522110",45.03476,-93.246875,Minneapolis,MN
sg:32a1e86e7cde4bddb69e86dc35bd370b,Holiday Inn Express,Holiday Inn Express,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,"721110",44.97108,-93.271849,Minneapolis,MN
sg:60f2c65cbfd645e894de92d4657f83da,Two Dames and Friends,,Home Furnishings Stores,All Other Home Furnishings Stores,"442299",44.944056,-93.2054,Minneapolis,MN
sg:9ef091dd9ac64474811d3ed550f3a18e,Minnesota Lawyers Mutual Insurance Company,,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,"524210",44.974192,-93.26761,Minneapolis,MN
