placekey,parent_placekey,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_closed_since,geometry_type
22k-222@5s8-cfy-ckf,,H&R Block,SG_BRAND_c19468cebc69ba51b37529f1fdd814f7,H&R Block,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Tax Preparation Services,541213,45.009356,-93.246813,2019 Central Ave NE,Minneapolis,MN,55418,US,+16127894397,"{ ""Mon"": [[""9:00"", ""20:00""]], ""Tue"": [[""9:00"", ""20:00""]], ""Wed"": [[""9:00"", ""20:00""]], ""Thu"": [[""9:00"", ""20:00""]], ""Fri"": [[""9:00"", ""20:00""]], ""Sat"": [[""9:00"", ""17:00""]], ""Sun"": [[""12:00"", ""16:00""]] }",,,,2019-07-01,POLYGON
22f-222@5s8-cj3-3yv,,Ace Hardware,SG_BRAND_0042ddcf1dfda78309cac2609a8e56e0,Ace Hardware,Building Material and Supplies Dealers,Hardware Stores,444130,44.933844,-93.277646,3805 Nicollet Ave,Minneapolis,MN,55409,US,+16128223121,"{ ""Mon"": [[""8:00"", ""20:00""]], ""Tue"": [[""8:00"", ""20:00""]], ""Wed"": [[""8:00"", ""20:00""]], ""Thu"": [[""8:00"", ""20:00""]], ""Fri"": [[""8:00"", ""20:00""]], ""Sat"": [[""8:00"", ""20:00""]], ""Sun"": [[""9:00"", ""17:00""]] }",,,,2019-07-01,POLYGON
22m-223@5s8-cd6-jsq,,MassMututal,SG_BRAND_0e2d1079fcd998e0,MassMututal,Insurance Carriers,Direct Life Insurance Carriers,524113,44.978373,-93.268641,100 S 5th St Ste 2450,Minneapolis,MN,55402,US,,,,2021-04-29,,2020-11-09,POLYGON
224-225@5s8-ckr-gkz,224-223@5s8-ckr-gkz,Godfather's Pizza,SG_BRAND_646faf2f465c72d091023a362c303c51,Godfather's Pizza,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,44.97408,-93.251111,1221 Washington Ave S,Minneapolis,MN,55415,US,,"{ ""Mon"": [[""11:00"", ""21:00""]], ""Tue"": [[""11:00"", ""21:00""]], ""Wed"": [[""11:00"", ""21:00""]], ""Thu"": [[""11:00"", ""21:00""]], ""Fri"": [[""11:00"", ""22:00""]], ""Sat"": [[""11:00"", ""22:00""]], ""Sun"": [[""11:00"", ""21:00""]] }","Pizza,Counter Service,Lunch,Dinner",,,2019-12-06,POLYGON
22h-222@5s8-cd6-fmk,226-222@5s8-cd6-fmk,TCF Bank,SG_BRAND_27501713cae44c7a12ea7b766781676a,TCF Bank,Depository Credit Intermediation,Commercial Banking,522110,44.976212,-93.271912,80 S 8th St Ste 250,Minneapolis,MN,55402,US,,,,,,2019-07-01,POLYGON
227-223@5s8-cj3-gtv,,Speedway,SG_BRAND_93b3d23529ebed78cdf4bfe2e58f1979,Speedway,Gasoline Stations,Gasoline Stations with Convenience Stores,447110,44.930223,-93.287793,4001 Lyndale Ave S,Minneapolis,MN,55409,US,+16128229996,,,,,2019-07-01,POLYGON
zzw-229@5s8-cks-28v,,Punch Pizza,SG_BRAND_bcd5e86f43bc5924,Punch Pizza,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,44.973423,-93.226808,802 Washington Ave SE,Minneapolis,MN,55414,US,,,"Pizza,Lunch,Italian Food,Casual Dining,Dinner",,,2021-04-13,POLYGON
zzw-222@5pb-ksm-p7q,,KinderCare,SG_BRAND_bb687a854c6bcb1,KinderCare,Child Day Care Services,Child Day Care Services,624410,44.922924,-93.327128,3708 W 44th St,Minneapolis,MN,55410,US,+16129226727,"{ ""Mon"": [[""6:30"", ""18:00""]], ""Tue"": [[""6:30"", ""18:00""]], ""Wed"": [[""6:30"", ""18:00""]], ""Thu"": [[""6:30"", ""18:00""]], ""Fri"": [[""6:30"", ""18:00""]], ""Sat"": [], ""Sun"": [] }",,,,2019-10-08,POLYGON
zzw-224@5s8-cd5-jsq,,Allina Health,SG_BRAND_2b42b6e3326b00bf,Allina Health,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,44.960211,-93.264121,2215 Park Ave S Phillips Eye Institute,Minneapolis,MN,55404,US,+16127758896,"{ ""Mon"": [[""7:30"", ""18:00""]], ""Tue"": [[""7:30"", ""18:00""]], ""Wed"": [[""7:30"", ""18:00""]], ""Thu"": [[""7:30"", ""18:00""]], ""Fri"": [[""7:00"", ""18:00""]], ""Sat"": [[""9:00"", ""12:00""]], ""Sun"": [] }",,,,2021-05-22,POLYGON
222-222@5s8-cfx-2kz,,Wells Fargo,SG_BRAND_d8326a9cc6413b12d8df3c617490e882,Wells Fargo,Depository Credit Intermediation,Commercial Banking,522110,45.030626,-93.288334,4141 Lyndale Ave N,Minneapolis,MN,55412,US,,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [], ""Thu"": [], ""Fri"": [], ""Sat"": [[""0:00"", ""24:00""], [""9:00"", ""12:00""]], ""Sun"": [] }",,,,2019-07-01,POLYGON
zzw-22p@5s8-cd6-fvf,zzw-22w@5s8-cd6-fvf,Chase,SG_BRAND_cd8e7918010a87cc619849e00265c9a6,Chase,Depository Credit Intermediation,Commercial Banking,522110,44.977705,-93.272101,600 Nicollet Mall Ste 261A,Minneapolis,MN,55402,US,,,,2020-12-05,,2019-07-01,POLYGON
223-222@5s8-cky-wzf,224-222@5s8-ckz-8sq,Caribou Coffee,SG_BRAND_7303ca634fe70d6fb5aa008ecc384e9b,Caribou Coffee,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,45.005666,-93.228057,1730 New Brighton Blvd,Minneapolis,MN,55413,US,+16127881796,"{ ""Mon"": [[""5:30"", ""20:00""]], ""Tue"": [[""5:30"", ""20:00""]], ""Wed"": [[""5:30"", ""20:00""]], ""Thu"": [[""5:30"", ""20:00""]], ""Fri"": [[""5:30"", ""20:00""]], ""Sat"": [[""6:00"", ""20:00""]], ""Sun"": [[""6:00"", ""19:00""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop",,,2019-07-01,POLYGON
228-223@5s8-cd6-gc5,,Naf Naf Middle Eastern Grill,SG_BRAND_9e7798957983da852cb2d3716212036a,Naf Naf Middle Eastern Grill,Restaurants and Other Eating Places,Full-Service Restaurants,722511,44.974439,-93.271118,121 S 8th St Ste 215,Minneapolis,MN,55402,US,,,"Counter Service,Lunch,Middle Eastern Food,Catering,Dinner",,,2021-01-24,POLYGON
23y-223@5s8-cj9-9fz,zzw-222@5s8-cj5-psq,Freewheel Bike,SG_BRAND_957cca449684f624,Freewheel Bike,"Sporting Goods, Hobby, and Musical Instrument Stores",Sporting Goods Stores,451110,44.95047,-93.260823,2834 10th Ave S,Minneapolis,MN,55407,US,,,,,,2021-06-25,POLYGON
zzw-225@5s8-ckr-gzf,,Sarpino's Pizzeria,SG_BRAND_27873c0874e1ae3c,Sarpino's Pizzeria,Restaurants and Other Eating Places,Full-Service Restaurants,722511,44.975829,-93.253364,1028 Washington Ave S,Minneapolis,MN,55415,US,,"{ ""Mon"": [[""0:00"", ""1:00""], [""10:00"", ""24:00""]], ""Tue"": [[""0:00"", ""1:00""], [""10:00"", ""24:00""]], ""Wed"": [[""0:00"", ""1:00""], [""10:00"", ""24:00""]], ""Thu"": [[""0:00"", ""1:00""], [""10:00"", ""24:00""]], ""Fri"": [[""0:00"", ""1:00""], [""10:00"", ""24:00""]], ""Sat"": [[""0:00"", ""3:00""], [""10:00"", ""24:00""]], ""Sun"": [[""0:00"", ""3:00""], [""10:00"", ""24:00""]] }","Counter Service,Late Night,Pizza,Lunch,Italian Food,Breakfast,Dinner",,,2019-07-01,POLYGON
222-222@5s8-cd5-syv,,Dunn Bros Coffee,SG_BRAND_3f619fd7096d635d480ec114e08a1b20,Dunn Bros Coffee,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,44.969502,-93.27371,1301 2nd Ave S,Minneapolis,MN,55403,US,+16123356272,"{ ""Mon"": [[""7:00"", ""17:00""]], ""Tue"": [[""7:00"", ""17:00""]], ""Wed"": [[""7:00"", ""17:00""]], ""Thu"": [[""7:00"", ""17:00""]], ""Fri"": [[""7:00"", ""17:00""]], ""Sat"": [[""7:00"", ""17:00""]], ""Sun"": [[""7:00"", ""17:00""]] }","Snacks,Counter Service,Sandwich Shop,Breakfast,Dessert,Coffee Shop",,,2019-07-01,POLYGON
222-222@5s8-cd5-r6k,,Dunn Bros Coffee,SG_BRAND_3f619fd7096d635d480ec114e08a1b20,Dunn Bros Coffee,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,44.967834,-93.28376,329 W 15th St,Minneapolis,MN,55403,US,+16128724410,"{ ""Mon"": [[""6:30"", ""17:00""]], ""Tue"": [[""6:30"", ""17:00""]], ""Wed"": [[""6:30"", ""17:00""]], ""Thu"": [[""6:30"", ""17:00""]], ""Fri"": [[""6:30"", ""17:00""]], ""Sat"": [[""7:00"", ""17:00""]], ""Sun"": [[""7:00"", ""17:00""]] }","Snacks,Counter Service,Sandwich Shop,Breakfast,Dessert,Coffee Shop",,,2019-07-01,POLYGON
